1,1000,10000,0.0448491,0.105984,0.0451792
1,2000,10000,0.0898959,0.225284,0.0911517
1,3000,10000,0.135609,0.347384,0.135132
1,4000,10000,0.179902,0.486324,0.182164
1,5000,10000,0.227642,0.608877,0.224777
1,6000,10000,0.268687,0.652471,0.269406
1,7000,10000,0.314065,0.633288,0.316029
1,8000,10000,0.359092,0.732956,0.364203
1,9000,10000,0.415808,1.12838,0.427088
1,10000,10000,0.455816,1.15336,0.455824
5,1000,10000,0.0324045,0.0470783,0.0207593
5,2000,10000,0.0617109,0.0982941,0.039771
5,3000,10000,0.109918,0.150342,0.0660984
5,4000,10000,0.147379,0.264206,0.0981234
5,5000,10000,0.18758,0.348918,0.122822
5,6000,10000,0.178834,0.474402,0.166434
5,7000,10000,0.27444,0.624373,0.173653
5,8000,10000,0.197351,0.854261,0.212534
5,9000,10000,0.21193,1.09773,0.255565
5,10000,10000,0.238588,1.25479,0.248167
10,1000,10000,0.0112105,0.0323138,0.0114337
10,2000,10000,0.026497,0.0789334,0.0286133
10,3000,10000,0.167519,0.229607,0.0440732
10,4000,10000,0.168556,0.376206,0.0606821
10,5000,10000,0.178892,0.531111,0.0764513
10,6000,10000,0.253941,0.697186,0.0970142
10,7000,10000,0.21294,0.881399,0.120209
10,8000,10000,0.231793,1.00467,0.13441
10,9000,10000,0.285574,1.14206,0.141061
10,10000,10000,0.37355,1.29405,0.170321
